INDEX,RESP_THORAX,RESP_ABDOMEN,ACC_VERTICAL,ACC_HORIZONTAL,TIME
331,25744.0,14144.0,27364.0,32840.0,6.62
332,25172.0,12850.0,27392.0,32904.0,6.64
333,24776.0,11232.0,27372.0,32920.0,6.66
334,24706.0,9902.0,27280.0,32864.0,6.68
335,25456.0,8849.0,27384.0,33052.0,6.7
336,26248.0,8953.0,27360.0,33192.0,6.72
337,26568.0,9533.0,27216.0,33104.0,6.74
338,26344.0,9937.0,27296.0,33080.0,6.76
339,24748.0,10016.0,27092.0,32764.0,6.78
340,21844.0,10856.0,26888.0,32624.0,6.8
341,19040.0,13108.0,25792.0,32812.0,6.82
342,16848.0,15700.0,24224.0,32820.0,6.84
343,16056.0,16008.0,22600.0,32416.0,6.86
344,18588.0,14524.0,20008.0,31100.0,6.88
345,23000.0,19506.0,21356.0,30152.0,6.9
346,27864.0,22996.0,21184.0,31612.0,6.92
347,32472.0,21324.0,22936.0,30996.0,6.94
348,36080.0,19121.0,28928.0,26552.0,6.96
349,37988.0,18634.0,28912.0,28392.0,6.98
350,38540.0,19456.0,30796.0,29728.0,7.0
351,38352.0,21168.0,30772.0,30784.0,7.02
352,37392.0,24068.0,30164.0,30912.0,7.04
353,35616.0,27296.0,30496.0,31572.0,7.06
354,33776.0,31468.0,29888.0,31924.0,7.08
355,32332.0,35736.0,28880.0,32284.0,7.1
356,30916.0,39576.0,28292.0,32242.0,7.12
357,29744.0,42808.0,27816.0,32616.0,7.14
358,29296.0,45688.0,28380.0,34664.0,7.16
359,29216.0,47848.0,27368.0,36980.0,7.18
360,29124.0,49916.0,27480.0,38996.0,7.2
361,28684.0,51816.0,27620.0,39852.0,7.22
362,27776.0,53464.0,28584.0,40984.0,7.24
363,26780.0,53836.0,29560.0,40560.0,7.26
364,26256.0,54608.0,30172.0,39824.0,7.28
365,26360.0,55992.0,30468.0,38780.0,7.3
366,27344.0,57240.0,29500.0,38752.0,7.32
367,29448.0,58264.0,27672.0,38968.0,7.34
368,32416.0,59160.0,26620.0,38016.0,7.36
369,35648.0,59824.0,25968.0,37288.0,7.38
370,38072.0,58136.0,25924.0,35852.0,7.4
371,39176.0,55176.0,27860.0,33512.0,7.42
372,39120.0,53532.0,15388.0,43012.0,7.44
373,37412.0,52208.0,23464.0,27236.0,7.46
374,34808.0,48968.0,26548.0,32016.0,7.48
375,31804.0,43864.0,26332.0,33760.0,7.5
