INDEX,RESP_THORAX,RESP_ABDOMEN,ACC_VERTICAL,ACC_HORIZONTAL,TIME
290,32472.0,55208.0,27376.0,32688.0,5.8
291,31368.0,56520.0,27360.0,32688.0,5.82
292,30240.0,57600.0,27368.0,32684.0,5.84
293,29248.0,58540.0,27360.0,32692.0,5.86
294,28428.0,59368.0,27368.0,32692.0,5.88
295,27784.0,60168.0,27360.0,32688.0,5.9
296,27268.0,60864.0,27364.0,32688.0,5.92
297,26836.0,61416.0,27360.0,32700.0,5.94
298,26608.0,61936.0,27376.0,32680.0,5.96
299,26616.0,62364.0,27360.0,32676.0,5.98
300,26640.0,62792.0,27364.0,32688.0,6.0
301,26576.0,63080.0,27368.0,32700.0,6.02
302,26448.0,63368.0,27360.0,32704.0,6.04
303,26089.0,63616.0,27376.0,32700.0,6.06
304,25228.0,63848.0,27370.0,32700.0,6.08
305,24764.0,64064.0,27352.0,32672.0,6.1
306,24600.0,64208.0,27352.0,32684.0,6.12
307,24218.0,64464.0,27372.0,32688.0,6.14
308,23956.0,64424.0,27376.0,32684.0,6.16
309,23784.0,64680.0,27360.0,32704.0,6.18
310,23312.0,64632.0,27348.0,32704.0,6.2
311,22896.0,64600.0,27376.0,32668.0,6.22
312,22704.0,64736.0,27376.0,32680.0,6.24
313,22784.0,64864.0,27360.0,32700.0,6.26
314,23144.0,64912.0,27368.0,32688.0,6.28
315,23489.0,64984.0,27364.0,32696.0,6.3
316,23820.0,65048.0,27360.0,32696.0,6.32
317,24260.0,65032.0,27356.0,32680.0,6.34
318,24728.0,65128.0,27368.0,32720.0,6.36
319,25112.0,65168.0,27364.0,32684.0,6.38
320,25300.0,65184.0,27368.0,32688.0,6.4
321,25264.0,65200.0,27352.0,32680.0,6.42
322,24940.0,65216.0,27376.0,32696.0,6.44
323,24424.0,65240.0,27376.0,32680.0,6.46
324,24288.0,65216.0,27340.0,32688.0,6.48
325,24232.0,65256.0,27364.0,32676.0,6.5
326,23808.0,65256.0,27356.0,32664.0,6.52
327,23512.0,65288.0,27380.0,32688.0,6.54
328,22992.0,65088.0,27376.0,32692.0,6.56
329,22464.0,64392.0,27364.0,32668.0,6.58
330,22168.0,63760.0,27362.0,32680.0,6.6
331,21980.0,63552.0,27376.0,32684.0,6.62
332,22000.0,63272.0,27376.0,32680.0,6.64
333,22076.0,62760.0,27360.0,32700.0,6.66
334,22185.0,61648.0,27356.0,32712.0,6.68
335,22516.0,61584.0,27376.0,32680.0,6.7
336,22988.0,60688.0,27372.0,32680.0,6.72
337,23368.0,59584.0,27352.0,32688.0,6.74
338,23448.0,58432.0,27364.0,32692.0,6.76
339,23176.0,57480.0,27356.0,32692.0,6.78
340,22708.0,56128.0,27361.0,32680.0,6.8
341,21877.0,53920.0,27360.0,32680.0,6.82
342,21152.0,50880.0,27352.0,32692.0,6.84
343,20732.0,46364.0,27368.0,32684.0,6.86
344,19828.0,41040.0,27360.0,32692.0,6.88
345,18745.0,36040.0,27328.0,32696.0,6.9
346,17712.0,31660.0,27348.0,32688.0,6.92
347,16696.0,27692.0,27344.0,32704.0,6.94
348,15968.0,24268.0,27340.0,32668.0,6.96
349,15560.0,21488.0,27344.0,32668.0,6.98
350,15368.0,19020.0,27340.0,32672.0,7.0
351,15426.0,16756.0,27344.0,32672.0,7.02
352,15688.0,14792.0,27328.0,32684.0,7.04
353,16208.0,12996.0,27312.0,32688.0,7.06
354,17016.0,11413.0,27332.0,32680.0,7.08
355,18024.0,10140.0,27336.0,32668.0,7.1
356,19084.0,8768.0,27332.0,32640.0,7.12
357,20056.0,7872.0,27356.0,32640.0,7.14
358,20864.0,6933.0,27344.0,32652.0,7.16
359,21320.0,6012.0,27320.0,32688.0,7.18
360,21572.0,5308.0,27332.0,32680.0,7.2
361,22144.0,4769.0,27344.0,32672.0,7.22
362,22940.0,4172.0,27336.0,32696.0,7.24
363,23148.0,3666.0,27344.0,32688.0,7.26
364,23340.0,3220.0,27356.0,32684.0,7.28
365,23588.0,3152.0,27332.0,32680.0,7.3
366,23736.0,2752.0,27352.0,32676.0,7.32
367,23988.0,2615.0,27336.0,32688.0,7.34
368,24424.0,2851.0,27344.0,32676.0,7.36
369,24816.0,3720.0,27348.0,32664.0,7.38
370,25184.0,4749.0,27324.0,32700.0,7.4
371,25620.0,6137.0,27344.0,32672.0,7.42
372,26380.0,7324.0,27328.0,32676.0,7.44
373,27504.0,8206.0,27336.0,32680.0,7.46
374,28636.0,8337.0,27348.0,32680.0,7.48
375,29664.0,8620.0,27344.0,32672.0,7.5
376,30488.0,8680.0,27348.0,32664.0,7.52
377,31112.0,8670.0,27352.0,32684.0,7.54
378,31312.0,8549.0,27340.0,32684.0,7.56
379,31936.0,7324.0,27352.0,32664.0,7.58
380,32504.0,6571.0,27320.0,32688.0,7.6
381,32616.0,5616.0,27360.0,32656.0,7.62
382,32676.0,4772.0,27332.0,32680.0,7.64
383,32888.0,4125.0,27340.0,32672.0,7.66
384,33120.0,3502.0,27348.0,32664.0,7.68
385,33496.0,3013.0,27336.0,32656.0,7.7
386,34056.0,2788.0,27328.0,32688.0,7.72
387,34572.0,2689.0,27332.0,32672.0,7.74
388,35008.0,2602.0,27320.0,32676.0,7.76
389,35572.0,2765.0,27332.0,32680.0,7.78
390,36352.0,2984.0,27328.0,32684.0,7.8
391,37320.0,2769.0,27328.0,32648.0,7.82
392,38196.0,2506.0,27340.0,32668.0,7.84
393,38904.0,2197.0,27344.0,32668.0,7.86
394,39432.0,1907.0,27332.0,32684.0,7.88
395,39880.0,1736.0,27328.0,32656.0,7.9
396,39996.0,1481.0,27336.0,32680.0,7.92
397,40304.0,1404.0,27340.0,32676.0,7.94
398,40572.0,1202.0,27328.0,32696.0,7.96
399,40340.0,1112.0,27328.0,32704.0,7.98
400,39840.0,1023.0,27312.0,32712.0,8.0
401,39312.0,1093.0,27336.0,32698.0,8.02
402,38860.0,1225.0,27352.0,32692.0,8.04
403,38720.0,1769.0,27328.0,32700.0,8.06
404,39000.0,2373.0,27312.0,32716.0,8.08
405,39520.0,3324.0,27344.0,32704.0,8.1
406,40144.0,4352.0,27328.0,32708.0,8.12
407,40812.0,5401.0,27336.0,32704.0,8.14
408,41560.0,6466.0,27336.0,32684.0,8.16
409,42392.0,6993.0,27328.0,32704.0,8.18
410,43092.0,7397.0,27328.0,32680.0,8.2
411,43464.0,8650.0,27344.0,32700.0,8.22
412,43364.0,10916.0,27328.0,32692.0,8.24
413,42776.0,14184.0,27336.0,32672.0,8.26
414,41668.0,17904.0,27340.0,32684.0,8.28
415,40392.0,22265.0,27336.0,32684.0,8.3
416,39436.0,26608.0,27352.0,32688.0,8.32
417,38156.0,31116.0,27352.0,32680.0,8.34
418,36528.0,35272.0,27328.0,32688.0,8.36
419,35200.0,39064.0,27356.0,32660.0,8.38
420,33944.0,42240.0,27352.0,32676.0,8.4
421,32560.0,45112.0,27368.0,32672.0,8.42
422,31240.0,47228.0,27344.0,32680.0,8.44
423,30128.0,49696.0,27352.0,32672.0,8.46
424,29257.0,51336.0,27364.0,32672.0,8.48
425,28588.0,52844.0,27356.0,32672.0,8.5
426,28144.0,54000.0,27352.0,32688.0,8.52
427,28020.0,55316.0,27360.0,32676.0,8.54
428,28020.0,56616.0,27360.0,32672.0,8.56
429,27872.0,57648.0,27368.0,32640.0,8.58
430,27488.0,58584.0,27380.0,32640.0,8.6
431,26916.0,59432.0,27360.0,32668.0,8.62
432,26164.0,60152.0,27356.0,32652.0,8.64
433,25168.0,60816.0,27384.0,32664.0,8.66
434,24648.0,61376.0,27364.0,32664.0,8.68
435,24152.0,61952.0,27364.0,32680.0,8.7
436,23228.0,62348.0,27360.0,32676.0,8.72
437,22468.0,62184.0,27356.0,32672.0,8.74
438,21768.0,63124.0,27364.0,32676.0,8.76
439,21004.0,63400.0,27368.0,32664.0,8.78
440,20392.0,63744.0,27368.0,32684.0,8.8
441,19900.0,63976.0,27360.0,32676.0,8.82
442,19652.0,63792.0,27368.0,32652.0,8.84
443,19704.0,63384.0,27372.0,32668.0,8.86
444,19928.0,62976.0,27368.0,32692.0,8.88
445,20344.0,62592.0,27360.0,32692.0,8.9
446,20972.0,62120.0,27364.0,32664.0,8.92
447,21576.0,61812.0,27356.0,32700.0,8.94
448,22096.0,61352.0,27360.0,32688.0,8.96
449,22360.0,61256.0,27368.0,32672.0,8.98
450,22368.0,61904.0,27352.0,32688.0,9.0
451,21972.0,62480.0,27372.0,32680.0,9.02
452,21632.0,63056.0,27360.0,32680.0,9.04
453,21664.0,63352.0,27368.0,32684.0,9.06
454,21580.0,63712.0,27372.0,32676.0,9.08
455,21208.0,63980.0,27368.0,32696.0,9.1
